Secondary Structure(Helix),Secondary Structure(Strands),Secondary Structure(Coil),Solvent Accessibilty (Buried),Solvent Accesibilty(Exposed),Solvent Accesibilty(Intermediate),Label
0.277,0.426,0.298,0.447,0.234,0.298,1
0.531,0.177,0.292,0.427,0.312,0.177,-1
0.298,0.179,0.524,0.571,0.226,0.262,-1
0.415,0.338,0.246,0.369,0.338,0.231,1
0.667,0.1,0.233,0.167,0.267,0.4,1
0.385,0.41,0.205,0.564,0.128,0.205,-1
0.25,0.583,0.167,0.583,0.25,0.333,1
0.176,0.412,0.412,0.515,0.279,0.235,1
0.365,0.381,0.254,0.397,0.333,0.254,1
0.313,0.463,0.224,0.418,0.284,0.224,1
0.241,0.414,0.345,0.5,0.293,0.241,1
0.5,0.5,0,0.5,0,0,-1
0.365,0.385,0.25,0.385,0.365,0.25,1
0.707,0.195,0.098,0.463,0.39,0.073,-1
0.438,0.219,0.344,0.656,0.25,0.094,1
0.488,0.195,0.317,0.39,0.366,0.244,-1
0.485,0.338,0.176,0.324,0.397,0.279,-1
0.4,0.267,0.333,0.4,0.267,0.333,1
0.413,0.27,0.317,0.333,0.349,0.317,-1
0.583,0.25,0.167,0.5,0.167,0.167,1
0.244,0.39,0.366,0.463,0.317,0.22,-1
0.515,0.242,0.242,0.364,0.394,0.212,-1
0.353,0.333,0.314,0.451,0.294,0.235,-1
0.267,0.267,0.467,0.6,0.333,0.067,1
0.583,0.417,0,0.667,0,0.083,-1
0.477,0.227,0.295,0.443,0.466,0.136,-1
0.467,0.253,0.28,0.453,0.227,0.227,-1
0.477,0.349,0.174,0.407,0.372,0.198,1
0.459,0.329,0.212,0.459,0.176,0.259,1
0.659,0.227,0.114,0.5,0.318,0.114,-1
0.583,0.417,0,0.667,0,0,-1
0.489,0.298,0.213,0.362,0.426,0.213,-1
0.506,0.236,0.258,0.382,0.337,0.258,-1
0.449,0.224,0.327,0.347,0.367,0.265,1
0.38,0.32,0.3,0.44,0.34,0.2,-1
0.5,0.5,0,0.7,0,0,-1
0.34,0.42,0.24,0.5,0.22,0.32,1
0.234,0.344,0.422,0.438,0.344,0.266,1
0.367,0.417,0.217,0.45,0.267,0.283,-1
0.364,0.273,0.364,0.455,0.333,0.273,-1
0.447,0.383,0.17,0.511,0.234,0.17,-1
0.5,0.233,0.267,0.389,0.322,0.289,1
0.472,0.34,0.189,0.623,0.321,0.057,-1
0.667,0.133,0.2,0.333,0.2,0.2,1
0.382,0.353,0.265,0.382,0.382,0.206,-1
0.571,0.229,0.2,0.429,0.371,0.143,-1
0.313,0.433,0.254,0.507,0.269,0.284,-1
0.245,0.396,0.358,0.396,0.358,0.321,1
0.47,0.27,0.26,0.52,0.23,0.24,-1
0.326,0.38,0.293,0.391,0.25,0.283,-1
0.619,0.167,0.214,0.286,0.31,0.214,1
0.408,0.347,0.245,0.347,0.327,0.245,1
0.316,0.474,0.211,0.526,0.158,0.316,1
0.469,0.344,0.188,0.5,0.156,0.125,-1
0.353,0.314,0.333,0.373,0.49,0.235,-1
0.38,0.36,0.26,0.42,0.28,0.26,-1
0.462,0.308,0.231,0.462,0.231,0.231,1
0.338,0.338,0.323,0.4,0.4,0.231,1
0.506,0.286,0.208,0.416,0.286,0.195,1
0.5,0.341,0.159,0.364,0.364,0.318,-1
0.25,0.75,0,0.75,0.083,0,-1
0.382,0.27,0.348,0.404,0.382,0.202,-1
0.588,0.412,0,0.471,0.235,0.118,-1
0.371,0.452,0.177,0.613,0.226,0.194,-1
0.574,0.23,0.197,0.623,0.279,0.098,-1
0.395,0.382,0.224,0.5,0.145,0.289,1
0.452,0.31,0.238,0.452,0.298,0.202,-1
0.486,0.306,0.208,0.542,0.194,0.167,1
0.366,0.338,0.296,0.38,0.268,0.268,1
0.485,0.263,0.253,0.394,0.313,0.182,1
0.491,0.302,0.208,0.623,0.302,0.075,-1
0.474,0.253,0.274,0.453,0.368,0.179,1
0.269,0.403,0.328,0.493,0.343,0.239,1
0.358,0.528,0.113,0.547,0.132,0.34,-1
0.365,0.397,0.238,0.54,0.302,0.143,1
0.444,0.241,0.315,0.463,0.333,0.222,-1
0.5,0.227,0.273,0.5,0.295,0.205,-1
0.3,0.35,0.35,0.4,0.3,0.35,1
0.415,0.292,0.292,0.585,0.215,0.215,1
0.3,0.4,0.3,0.6,0.233,0.167,1
0.568,0.27,0.162,0.297,0.351,0.216,1
0.333,0.333,0.333,0.467,0.267,0.267,1
0.404,0.383,0.213,0.447,0.191,0.213,1
0.556,0.333,0.111,0.333,0.222,0.111,-1
0.687,0.224,0.09,0.299,0.478,0.134,1
0.581,0.215,0.204,0.269,0.398,0.247,-1
0.367,0.383,0.25,0.4,0.367,0.267,1
0.683,0.117,0.2,0.3,0.533,0.15,-1
0.418,0.255,0.327,0.636,0.2,0.2,-1
0.52,0.22,0.26,0.31,0.31,0.27,1
0.44,0.34,0.22,0.38,0.4,0.18,-1
0.373,0.392,0.235,0.373,0.314,0.275,1
0.384,0.337,0.279,0.407,0.372,0.186,-1
0.188,0.562,0.25,0.562,0.188,0.312,1
0.625,0.312,0.062,0.375,0.438,0,-1
0.333,0.444,0.222,0.444,0.333,0.333,1
0.383,0.298,0.319,0.489,0.319,0.106,1
0.394,0.408,0.197,0.549,0.169,0.254,-1
0.421,0.305,0.274,0.389,0.368,0.189,-1
0.439,0.351,0.211,0.298,0.333,0.351,1
0.424,0.348,0.228,0.391,0.326,0.261,-1
0.333,0.3,0.367,0.5,0.267,0.2,1
0.511,0.1,0.389,0.456,0.4,0.178,-1
0.435,0.318,0.247,0.424,0.306,0.259,1
0.423,0.321,0.256,0.41,0.321,0.282,1
0.434,0.342,0.224,0.434,0.276,0.303,-1
0.438,0.312,0.25,0.438,0.25,0.312,1
0.474,0.305,0.221,0.347,0.358,0.221,1
0.319,0.319,0.362,0.404,0.34,0.191,1
0.475,0.305,0.22,0.441,0.254,0.254,1
0.484,0.281,0.234,0.391,0.266,0.203,1
0.5,0.306,0.194,0.361,0.333,0.25,1
0.293,0.341,0.366,0.537,0.195,0.293,-1
0.667,0.333,0,0.583,0,0.083,-1
0.63,0.174,0.196,0.348,0.217,0.217,1
0.273,0.386,0.341,0.523,0.25,0.159,1
0.273,0.386,0.341,0.523,0.25,0.182,1
0.4,0.333,0.267,0.467,0.2,0.333,1
0.2,0.267,0.533,0.533,0.333,0.133,1
0.396,0.34,0.264,0.415,0.396,0.17,-1
0.714,0.143,0.143,0.143,0.214,0.429,1
0.476,0.256,0.268,0.415,0.341,0.183,1
0.54,0.27,0.19,0.444,0.381,0.143,-1
0.565,0.246,0.188,0.362,0.449,0.159,1
0.357,0.314,0.329,0.386,0.329,0.257,1
0.276,0.448,0.276,0.517,0.241,0.31,-1
0.36,0.34,0.3,0.46,0.32,0.22,1
0.486,0.284,0.23,0.459,0.297,0.203,-1
0.525,0.262,0.213,0.525,0.262,0.197,-1
0.333,0.333,0.333,0.5,0.333,0.167,-1
0.396,0.34,0.264,0.453,0.358,0.151,-1
0.391,0.422,0.188,0.516,0.234,0.219,-1
0.395,0.368,0.237,0.579,0.158,0.211,1
0.228,0.474,0.298,0.439,0.193,0.333,1
0.278,0.444,0.278,0.528,0.236,0.236,-1
0.574,0.23,0.197,0.475,0.361,0.115,-1
0.484,0.328,0.188,0.312,0.422,0.188,1
0.667,0.267,0.067,0.533,0.333,0.067,-1
0.442,0.346,0.212,0.327,0.346,0.288,-1
0.38,0.4,0.22,0.4,0.36,0.2,-1
0.417,0.583,0,0.583,0.167,0,-1
0.453,0.297,0.25,0.312,0.344,0.25,1
0.442,0.395,0.163,0.419,0.302,0.233,-1
0.43,0.323,0.247,0.43,0.269,0.269,1
0.353,0.471,0.176,0.471,0.118,0.294,1
0.333,0.25,0.417,0.417,0.25,0.333,1
0.444,0.333,0.222,0.478,0.256,0.267,-1
0.434,0.422,0.145,0.434,0.313,0.253,-1
0.349,0.372,0.279,0.512,0.209,0.209,-1
0.493,0.315,0.192,0.342,0.411,0.205,-1
0.233,0.256,0.512,0.279,0.488,0.465,-1
0.686,0.196,0.118,0.49,0.353,0.078,-1
0.514,0.243,0.243,0.432,0.351,0.216,-1
0.409,0.364,0.227,0.5,0.167,0.273,1
0.278,0.306,0.417,0.472,0.333,0.194,1
0.457,0.277,0.266,0.383,0.298,0.298,1
0.4,0.35,0.25,0.412,0.275,0.25,-1
0.323,0.312,0.366,0.495,0.28,0.29,-1
0.393,0.393,0.214,0.5,0.274,0.214,-1
0.636,0.159,0.205,0.273,0.25,0.227,1
0.452,0.214,0.333,0.31,0.429,0.286,-1
0.667,0.25,0.083,0.333,0.25,0.25,1
0.543,0.283,0.174,0.304,0.152,0.283,1
0.489,0.239,0.272,0.489,0.261,0.185,-1
0.583,0.417,0,0.667,0,0,-1
0.316,0.421,0.263,0.526,0.246,0.263,-1
0.182,0.545,0.273,0.545,0.273,0.182,1
0.5,0.5,0,0.667,0.167,0.167,1
0.523,0.284,0.193,0.409,0.386,0.148,1
0.46,0.302,0.238,0.587,0.19,0.222,1
0.534,0.25,0.216,0.364,0.398,0.182,1
0.38,0.36,0.26,0.44,0.3,0.22,-1
0.5,0.278,0.222,0.389,0.278,0.241,1
0.333,0.353,0.314,0.471,0.314,0.235,1
0.647,0.216,0.137,0.353,0.314,0.196,1
0.38,0.36,0.26,0.46,0.34,0.18,-1
0.417,0.333,0.25,0.667,0.083,0.25,1
0.5,0.261,0.239,0.402,0.304,0.25,1
0.241,0.315,0.444,0.389,0.333,0.259,1
0.484,0.221,0.295,0.358,0.389,0.232,-1
0.431,0.373,0.196,0.569,0.294,0.137,1
0.643,0.229,0.129,0.357,0.329,0.157,1
0.396,0.333,0.271,0.479,0.271,0.229,-1
0.6,0.244,0.156,0.344,0.378,0.2,1
0.431,0.397,0.172,0.5,0.293,0.172,-1
0.348,0.304,0.348,0.478,0.304,0.217,1
0.263,0.474,0.263,0.5,0.184,0.211,-1
0.513,0.295,0.192,0.333,0.359,0.244,1
0.647,0.176,0.176,0.588,0.176,0.118,1
0.292,0.396,0.312,0.521,0.229,0.167,-1
0.469,0.316,0.214,0.429,0.367,0.194,-1
0.404,0.362,0.234,0.426,0.319,0.277,1
0.351,0.39,0.26,0.377,0.351,0.247,1
0.583,0.417,0,0.583,0,0.083,-1
0.323,0.452,0.226,0.484,0.29,0.258,-1
0.464,0.25,0.286,0.607,0.357,0.071,-1
0.5,0.274,0.226,0.403,0.29,0.226,1
0.38,0.34,0.28,0.44,0.28,0.24,-1
0.281,0.491,0.228,0.491,0.281,0.263,-1
0.529,0.324,0.147,0.324,0.397,0.221,-1
0.561,0.194,0.245,0.337,0.418,0.163,-1
0.3,0.267,0.433,0.6,0.133,0.3,1
0.364,0.4,0.236,0.509,0.291,0.218,-1
0.456,0.353,0.191,0.471,0.338,0.176,-1
0.333,0.4,0.267,0.467,0.2,0.244,1
0.583,0.333,0.083,0.75,0,0.167,-1
0.39,0.377,0.234,0.623,0.234,0.169,-1
0.5,0.389,0.111,0.667,0.278,0.056,-1
0.309,0.382,0.309,0.345,0.345,0.273,1
0.439,0.194,0.367,0.469,0.337,0.153,-1
0.506,0.273,0.221,0.429,0.247,0.195,1
0.557,0.257,0.186,0.371,0.329,0.229,1
0.632,0.316,0.053,0.474,0.368,0,-1
0.364,0.273,0.364,0.455,0.364,0.182,-1
0.212,0.515,0.273,0.424,0.212,0.333,1
0.786,0.143,0.071,0.357,0.5,0.071,-1
0.391,0.402,0.207,0.345,0.31,0.31,1
0.638,0.224,0.138,0.397,0.379,0.19,-1
0.5,0.156,0.344,0.688,0.25,0.062,-1
0.5,0.25,0.25,0.375,0.312,0.312,1
0.24,0.4,0.36,0.42,0.3,0.32,1
0.424,0.322,0.254,0.508,0.254,0.203,-1
0.386,0.281,0.333,0.404,0.351,0.211,-1
0.345,0.327,0.327,0.455,0.236,0.327,-1
0.267,0.467,0.267,0.267,0.2,0.467,-1
0.5,0.265,0.235,0.337,0.398,0.276,1
0.434,0.373,0.193,0.422,0.313,0.205,1
0.517,0.3,0.183,0.35,0.4,0.25,1
0.429,0.385,0.187,0.319,0.352,0.297,-1
0.317,0.467,0.217,0.517,0.283,0.233,-1
0.514,0.297,0.189,0.405,0.27,0.162,1
0.476,0.286,0.238,0.603,0.222,0.159,1
0.427,0.373,0.2,0.413,0.347,0.227,-1
0.431,0.293,0.276,0.345,0.345,0.31,1
0.357,0.386,0.257,0.643,0.157,0.186,-1
0.676,0.211,0.113,0.38,0.352,0.141,1
0.269,0.388,0.343,0.433,0.299,0.343,-1
0.378,0.311,0.311,0.444,0.289,0.278,-1
0.333,0.436,0.231,0.449,0.295,0.308,-1
0.489,0.283,0.228,0.391,0.304,0.272,1
0.494,0.284,0.222,0.432,0.358,0.222,1
0.379,0.333,0.288,0.47,0.212,0.273,-1
0.295,0.386,0.318,0.523,0.227,0.182,1
0.402,0.423,0.175,0.629,0.196,0.165,-1
0.412,0.353,0.235,0.412,0.306,0.259,-1
0.574,0.191,0.234,0.298,0.149,0.255,1
0.466,0.293,0.241,0.241,0.259,0.397,1
0.422,0.289,0.289,0.467,0.244,0.222,1
0.167,0.333,0.5,0.667,0.167,0.333,-1
0.36,0.34,0.3,0.46,0.28,0.2,-1
0.486,0.297,0.216,0.351,0.351,0.189,1
0.35,0.45,0.2,0.425,0.325,0.3,-1
0.462,0.308,0.231,0.354,0.4,0.2,1
0.51,0.286,0.204,0.327,0.327,0.306,1
0.508,0.277,0.215,0.431,0.292,0.154,1
0.592,0.163,0.245,0.245,0.429,0.184,1
0.426,0.389,0.185,0.426,0.333,0.222,1
0.433,0.283,0.283,0.367,0.4,0.2,-1
0.407,0.37,0.222,0.457,0.309,0.222,-1
0.456,0.235,0.309,0.5,0.235,0.25,-1
0.52,0.214,0.265,0.367,0.357,0.224,1
0.488,0.317,0.195,0.366,0.183,0.268,1
0.447,0.289,0.263,0.553,0.263,0.184,1
0.288,0.441,0.271,0.475,0.339,0.237,-1
0.558,0.299,0.143,0.377,0.364,0.156,1
0.417,0.306,0.278,0.472,0.153,0.292,1
0.375,0.625,0,0.75,0,0,-1
0.457,0.326,0.217,0.467,0.283,0.207,1
0.353,0.333,0.314,0.373,0.49,0.216,-1
0.467,0.356,0.178,0.511,0.311,0.089,1
0.85,0.15,0,1,0,0,-1
0.463,0.328,0.209,0.418,0.254,0.209,1
0.273,0.386,0.341,0.523,0.25,0.182,1
0.388,0.341,0.271,0.435,0.294,0.294,-1
0.567,0.3,0.133,0.5,0.2,0.15,1
0.48,0.27,0.25,0.47,0.3,0.18,1
0.444,0.556,0,0.556,0.111,0,-1
0.583,0.417,0,0.667,0.083,0,-1
0.4,0.308,0.292,0.477,0.246,0.185,-1
0.214,0.446,0.339,0.429,0.286,0.286,1
0.439,0.318,0.242,0.53,0.242,0.227,1
0.286,0.524,0.19,0.524,0.143,0.143,-1
0.557,0.193,0.25,0.409,0.25,0.227,1
0.667,0.25,0.083,0.333,0.25,0.25,1
0.622,0.189,0.189,0.378,0.344,0.144,1
0.265,0.324,0.412,0.5,0.294,0.206,1
0.378,0.311,0.311,0.578,0.311,0.089,-1
0.43,0.301,0.269,0.355,0.247,0.355,1
0.329,0.434,0.237,0.513,0.237,0.237,1
0.31,0.483,0.207,0.534,0.259,0.224,-1
0.392,0.378,0.23,0.446,0.243,0.297,-1
0.571,0.214,0.214,0.529,0.214,0.086,-1
0,0.714,0.286,0.714,0.143,0.286,1
0.386,0.352,0.261,0.375,0.273,0.307,-1
0.52,0.286,0.194,0.388,0.408,0.194,1
0.385,0.33,0.286,0.505,0.22,0.275,-1
0.294,0.529,0.176,0.588,0.235,0.176,-1
0.363,0.286,0.352,0.538,0.231,0.286,1
0.686,0.196,0.118,0.49,0.353,0.078,-1
0.409,0.364,0.227,0.455,0.341,0.25,-1
0.316,0.456,0.228,0.544,0.298,0.158,-1
0.393,0.345,0.262,0.417,0.321,0.238,1
0.517,0.218,0.264,0.483,0.299,0.195,-1
0.478,0.275,0.246,0.377,0.275,0.217,1
0.4,0.4,0.2,0.48,0.28,0.2,1
0.395,0.372,0.233,0.581,0.163,0.233,-1
0.387,0.376,0.237,0.398,0.258,0.28,-1
0.306,0.449,0.245,0.49,0.347,0.163,1
0.488,0.244,0.268,0.476,0.268,0.159,1
0.507,0.268,0.225,0.451,0.352,0.141,-1
0.5,0.417,0.083,0.667,0,0.083,-1
0.511,0.234,0.255,0.479,0.234,0.181,-1
0.38,0.34,0.28,0.46,0.34,0.16,-1
0.655,0.207,0.138,0.483,0.345,0.103,-1
0.44,0.34,0.22,0.41,0.31,0.3,-1
0.51,0.286,0.204,0.265,0.388,0.245,1
0.341,0.318,0.341,0.591,0.182,0.25,1
0.489,0.239,0.272,0.391,0.304,0.272,1
0.517,0.31,0.172,0.414,0.241,0.293,1
0.375,0.375,0.25,0.25,0.5,0.25,1
0.38,0.34,0.28,0.37,0.38,0.27,-1
0.182,0.545,0.273,0.636,0.136,0.273,1
0.471,0.294,0.235,0.412,0.294,0.294,1
0.35,0.338,0.312,0.45,0.325,0.2,-1
0.444,0.333,0.222,0.444,0.278,0.278,1
0.581,0.243,0.176,0.419,0.338,0.203,1
0.5,0.417,0.083,0.417,0.083,0,-1
0.326,0.419,0.256,0.419,0.302,0.279,-1
0.31,0.362,0.328,0.466,0.207,0.276,1
0.492,0.27,0.238,0.603,0.238,0.175,1
0.365,0.365,0.27,0.446,0.27,0.243,1
0.608,0.196,0.196,0.275,0.294,0.235,1
0.341,0.273,0.386,0.432,0.409,0.239,-1
0.722,0.222,0.056,0.5,0.444,0.111,1
0.542,0.169,0.288,0.407,0.373,0.22,-1
0.483,0.3,0.217,0.367,0.317,0.25,1
0.284,0.343,0.373,0.358,0.358,0.284,-1
0.317,0.317,0.367,0.5,0.333,0.183,1
0.329,0.415,0.256,0.524,0.232,0.317,-1
0.373,0.353,0.275,0.471,0.294,0.196,1
0.447,0.383,0.17,0.468,0.404,0.149,-1
0.396,0.321,0.283,0.453,0.264,0.226,-1
0.588,0.237,0.175,0.34,0.351,0.216,-1
0.32,0.36,0.32,0.48,0.32,0.22,1
0.732,0.171,0.098,0.463,0.39,0.073,-1
0.42,0.3,0.28,0.42,0.34,0.22,-1
0.333,0.333,0.333,0.46,0.287,0.264,-1
0.37,0.463,0.167,0.556,0.204,0.241,-1
0.722,0.222,0.056,0.5,0.5,0.056,1
0.743,0.114,0.143,0.486,0.371,0.086,-1
0.41,0.265,0.325,0.446,0.289,0.193,1
0.778,0.222,0,0.444,0.333,0,1
0.667,0.167,0.167,0.431,0.375,0.125,1
0.474,0.211,0.316,0.184,0.316,0.421,1
0.333,0.353,0.314,0.471,0.314,0.216,1
0.627,0.136,0.237,0.508,0.288,0.169,-1
0.417,0.312,0.271,0.562,0.271,0.083,1
0.463,0.278,0.259,0.5,0.296,0.222,1
0.312,0.333,0.354,0.375,0.396,0.271,1
0.237,0.305,0.458,0.475,0.373,0.271,1
0.455,0.348,0.197,0.439,0.303,0.197,-1
0.378,0.28,0.341,0.378,0.354,0.256,-1
0.429,0.321,0.25,0.411,0.304,0.268,-1
0.88,0.04,0.08,0.12,0.32,0.16,1
0.231,0.462,0.308,0.538,0.308,0.308,-1
0.295,0.364,0.341,0.523,0.25,0.159,1
0.378,0.311,0.311,0.405,0.405,0.162,-1
0.5,0.438,0.062,0.5,0.188,0.188,-1
0.49,0.333,0.176,0.392,0.294,0.333,1
0.511,0.239,0.25,0.432,0.364,0.216,-1
0.596,0.25,0.154,0.385,0.327,0.192,1
0.732,0.244,0.024,0.488,0.463,0.024,-1
0.25,0.426,0.324,0.471,0.309,0.235,1
0.439,0.329,0.232,0.439,0.244,0.317,1
0.559,0.22,0.22,0.407,0.39,0.186,1
0.323,0.28,0.398,0.527,0.194,0.269,-1
0.392,0.333,0.275,0.392,0.275,0.333,-1
0.413,0.429,0.159,0.524,0.238,0.127,-1
0.396,0.321,0.283,0.415,0.377,0.17,-1
0.452,0.301,0.247,0.376,0.344,0.247,1
0.417,0.389,0.194,0.5,0.264,0.181,-1
0.5,0.417,0.083,0.25,0.25,0.333,1
0.526,0.263,0.211,0.421,0.263,0.263,1
0.8,0,0.2,0,0.4,0.2,-1
0.393,0.393,0.214,0.512,0.262,0.226,-1
0.427,0.365,0.208,0.427,0.292,0.219,-1
0.316,0.211,0.474,0.158,0.368,0.579,-1
0.526,0.269,0.205,0.513,0.308,0.115,-1
0.344,0.391,0.266,0.469,0.297,0.281,-1
0.304,0.406,0.29,0.435,0.348,0.232,1
0.434,0.398,0.169,0.506,0.229,0.193,-1
0.36,0.371,0.27,0.404,0.27,0.303,-1
0.279,0.412,0.309,0.441,0.279,0.279,1
0.281,0.516,0.203,0.562,0.297,0.172,-1
0.667,0.176,0.157,0.255,0.392,0.255,1
0.491,0.236,0.273,0.418,0.436,0.145,-1
0.417,0.583,0,0.5,0,0.083,-1
0.373,0.353,0.275,0.471,0.314,0.196,1
0.396,0.34,0.264,0.434,0.377,0.189,-1
0.414,0.357,0.229,0.557,0.243,0.2,1
0.456,0.279,0.265,0.5,0.279,0.235,1
0.427,0.293,0.28,0.439,0.354,0.232,1
0.304,0.326,0.37,0.413,0.348,0.326,-1
0.328,0.414,0.259,0.466,0.276,0.241,-1
0.295,0.386,0.318,0.523,0.227,0.182,1
0.341,0.39,0.268,0.512,0.268,0.244,1
0.5,0.269,0.231,0.423,0.256,0.205,1
0.367,0.354,0.278,0.342,0.418,0.316,-1
0.369,0.323,0.308,0.446,0.431,0.169,1
0.284,0.358,0.358,0.543,0.185,0.284,-1
0.489,0.319,0.191,0.404,0.447,0.085,-1
0.36,0.36,0.28,0.46,0.32,0.18,-1
0.405,0.333,0.262,0.429,0.262,0.19,-1
0.533,0.317,0.15,0.4,0.333,0.2,1
0.317,0.286,0.397,0.492,0.254,0.222,1
0.4,0.333,0.267,0.467,0.4,0.133,-1
0.549,0.275,0.176,0.255,0.314,0.294,1
0.478,0.313,0.209,0.403,0.343,0.284,-1
0.38,0.32,0.3,0.44,0.34,0.16,-1
0.514,0.243,0.243,0.595,0.243,0.108,-1
0.32,0.4,0.28,0.58,0.22,0.24,1
0.5,0.333,0.167,0.5,0.333,0.333,1
0.315,0.37,0.315,0.407,0.315,0.333,1
0.308,0.415,0.277,0.477,0.277,0.338,-1
0.453,0.234,0.312,0.391,0.188,0.312,1
0.273,0.386,0.341,0.523,0.25,0.182,1
0.429,0.369,0.202,0.5,0.262,0.226,-1
0.352,0.389,0.259,0.481,0.315,0.185,1
0.412,0.353,0.235,0.706,0.294,0,-1
0.577,0.254,0.169,0.451,0.254,0.155,-1
0.468,0.351,0.182,0.532,0.299,0.182,-1
0.426,0.362,0.213,0.447,0.309,0.234,-1
0.412,0.382,0.206,0.471,0.412,0.147,-1
0.333,0.583,0.083,0.583,0.333,0.083,-1
0.375,0.35,0.275,0.412,0.288,0.262,1
0.383,0.362,0.255,0.404,0.191,0.298,1
0.558,0.25,0.192,0.346,0.404,0.192,1
0.697,0.227,0.076,0.394,0.379,0.106,1
0.392,0.314,0.294,0.451,0.314,0.216,-1
0.556,0.111,0.333,0.222,0.667,0.111,1
0.255,0.4,0.345,0.436,0.2,0.327,-1
0.486,0.314,0.2,0.314,0.329,0.286,1
0.563,0.211,0.225,0.465,0.366,0.127,-1
0.593,0.22,0.186,0.322,0.322,0.288,1
0.473,0.269,0.258,0.452,0.29,0.237,-1
0.344,0.289,0.367,0.522,0.2,0.3,-1
0.373,0.424,0.203,0.458,0.22,0.305,-1
0.508,0.237,0.254,0.407,0.373,0.203,-1
0.133,0.267,0.6,0.4,0.333,0.267,1
0.481,0.304,0.215,0.342,0.367,0.241,1
0.379,0.345,0.276,0.431,0.224,0.259,1
0.492,0.262,0.246,0.308,0.308,0.292,1
0.477,0.352,0.17,0.42,0.352,0.17,-1
0.444,0.556,0,0.667,0.222,0,-1
0.519,0.315,0.167,0.352,0.389,0.241,1
0.25,0.75,0,0.75,0.083,0,-1
0.421,0.404,0.175,0.491,0.298,0.246,-1
0.609,0.152,0.239,0.283,0.261,0.283,1
0.583,0.417,0,0.417,0.083,0,-1
0.543,0.284,0.173,0.395,0.407,0.173,1
0.414,0.31,0.276,0.368,0.299,0.299,1
0.462,0.354,0.185,0.477,0.277,0.2,-1
0.337,0.386,0.277,0.361,0.277,0.337,1
0.449,0.282,0.269,0.385,0.333,0.244,1
0.58,0.26,0.16,0.36,0.38,0.16,1
0.306,0.417,0.278,0.444,0.417,0.25,-1
0.64,0.151,0.209,0.36,0.337,0.186,1
0.397,0.379,0.224,0.431,0.328,0.224,1
0.295,0.386,0.318,0.523,0.25,0.182,1
0.541,0.189,0.27,0.27,0.27,0.27,1
